Rank,Name,Total_net_worth,Last_change,YTD_change,Country,Industry
1,Bill Gates,86000000000.0,-11400000.0,3630000.0,United States,Technology
2,Jeff Bezos,75600000000,1490000.0,+10200000000,United States,Technology
3,Warren Buffett,74900000000,-809000000.0,1750000.0,United States,Diversified
4,Amancio Ortega,74200000000,121000000.0,+2100000000,Spain,Retail
5,Mark Zuckerberg,61400000000,340000000.0,+11400000000,United States,Technology
6,Carlos Slim,58100000000,1070000.0,8199999.999999999,Mexico,Diversified
7,Charles Koch,47900000000,-57000000.0,2290000.0,United States,Industrial
8,David Koch,47900000000,-57000000.0,2290000.0,United States,Industrial
9,Larry Ellison,47000000000.0,-136000000.0,5450000.0,United States,Technology
10,Bernard Arnault,43500000000,-58200000.0,4360000.0,France,Consumer
11,Larry Page,42800000000,382000000.0,2890000.0,United States,Technology
12,Sergey Brin,41900000000,370000000.0,2640000.0,United States,Technology
13,Ingvar Kamprad,41800000000,297000000.0,-2200000.0,Sweden,Retail
14,Liliane Bettencourt,38300000000,80700000.0,2180000.0,France,Consumer
15,Jack Ma,36800000000,249000000.0,3460000.0,China,Technology
16,Rob Walton,35200000000,137000000.0,835000000.0,United States,Retail
17,Jim Walton,34900000000,134000000.0,530000000.0,United States,Retail
18,Alice Walton,33800000000,170000000.0,612000000.0,United States,Retail
19,John Mars,33000000000.0,113000000.0,1640000.0,United States,Food & Beverage
20,Jacqueline Mars,33000000000.0,113000000.0,1640000.0,United States,Food & Beverage
21,Wang Jianlin,31600000000,-107000000.0,1220000.0,China,Real Estate
22,Li Ka-Shing,30500000000,-161000000.0,1930000.0,Hong Kong,Real Estate
23,Sheldon Adelson,29600000000,121000000.0,1470000.0,United States,Entertainment
24,Jorge Paulo Lemann,29100000000,-38900000.0,1730000.0,Brazil,Food & Beverage
25,Steve Ballmer,27500000000,32600000.0,+1100000000,United States,Technology
26,Mukesh Ambani,27400000000,361000000.0,4670000.0,India,Energy
27,George Soros,25200000000,0,0,United States,Finance
28,Phil Knight,24800000000,52400000.0,1920000.0,United States,Consumer
29,Pony Ma,24400000000,184000000.0,3590000.0,China,Technology
30,Wang Wei,23100000000,-215000000.0,+18400000000,China,Services
31,Stefan Persson,22400000000,38700000.0,-640000000.0,Sweden,Retail
32,Giovanni Ferrero,21900000000,-78400000.0,1630000.0,Italy,Food & Beverage
33,Dieter Schwarz,21500000000,95200000.0,670000000.0,Germany,Retail
34,Lee Shau Kee,20900000000,29400000.0,+2600000000,Hong Kong,Real Estate
35,Georg Schaeffler,20900000000,112000000.0,3000000.0,Germany,Industrial
36,Paul Allen,20900000000,8450000.0,638000000.0,United States,Technology
37,Michael Dell,20200000000,-20400000.0,1330000.0,United States,Technology
38,Carl Icahn,19600000000,12200000.0,-972000000.0,United States,Diversified
39,Susanne Klatten,19600000000,-9660000.0,-43700000.0,Germany,Industrial
40,Charlie Ergen,19100000000,43100000.0,1490000.0,United States,Media & Telecom
41,Alwaleed Al Saud,19100000000,57400000.0,-668000000.0,Saudi Arabia,Diversified
42,Len Blavatnik,19100000000,-49400000.0,371000000.0,United States,Diversified
43,Leonardo del Vecchio,18600000000,-166000000.0,289000000.0,Italy,Consumer
44,Laurene Powell Jobs,17900000000,-24600000.0,-739000000.0,United States,Media & Telecom
45,Stefan Quandt,17900000000,5890000.0,98900000.0,Germany,Industrial
46,Leonid Mikhelson,17800000000,-73500000.0,500000000.0,Russian,Energy
47,Ron Perelman,17700000000,-14800000.0,716000000.0,United States,Diversified
48,Francois Pinault,17300000000,-11600000.0,2290000.0,France,Consumer
49,Serge Dassault,17200000000,-994000,1940000.0,France,Industrial
50,Alexey Mordashov,16900000000,69600000.0,7300000.0,Russian,Industrial
51,Lee Kun Hee,16900000000,152000000.0,2770000.0,Korea,Diversified
52,William Ding,16800000000,-398000000.0,3960000.0,China,Technology
53,Donald Bren,16600000000,0,0,United States,Real Estate
54,Joseph Safra,16500000000,74900000.0,1280000.0,Brazil,Finance
55,Tadashi Yanai,16500000000,45900000.0,-2060000.0,Japan,Retail
56,Vladimir Potanin,16500000000,59300000.0,-123000000.0,Russian,Commodities
57,Elaine Marshall,16500000000,-19800000.0,816000000.0,United States,Industrial
58,Lakshmi Mittal,15900000000,-20200000.0,1490000.0,India,Commodities
59,Jim Simons,15500000000,0,0,United States,Finance
60,Henry Sy Sr,15400000000,200000000.0,483000000.0,Philippines,Diversified
61,Robert Kuok,14900000000,60600000.0,2140000.0,Malaysia,Diversified
62,Ernesto Bertarelli,14900000000,-73600000.0,677000000.0,Switzerland,Diversified
63,Alejandro Santo Domingo,14800000000,-46900000.0,194000000.0,Colombia,Food & Beverage
64,Charoen Sirivadhanabhakdi,14700000000,143000000.0,3050000.0,Thailand,Food & Beverage
65,Dilip Shanghvi,14700000000,-142000000.0,1880000.0,India,Health Care
66,Viktor Vekselberg,14600000000,20100000.0,413000000.0,Russian,Industrial
67,Pallonji Mistry,14600000000,174000000.0,914000000.0,India,Industrial
68,Vladimir Lisin,14300000000,168000000.0,1160000.0,Russian,Industrial
69,Alisher Usmanov,14200000000,63900000.0,1330000.0,Russian,Diversified
70,Ray Dalio,14100000000,0,-50000000.0,United States,Finance
71,Thomas Peterffy,14000000000.0,-70000000.0,-475000000.0,United States,Finance
72,Marcel Telles,14000000000.0,-11600000.0,1140000.0,Brazil,Food & Beverage
73,Dustin Moskovitz,13800000000,75800000.0,2620000.0,United States,Technology
74,Stefano Pessina,13800000000,-4290000.0,207000000.0,Monaco,Retail
